#Time,Time_usec,ProducerName,component_id,job_id,app_id,MemTotal,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Dirty,Writeback,AnonPages,Mapped,Shmem,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,Percpu,HardwareCorrupted,AnonHugePages,CmaTotal,CmaFree,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,DirectMap4k,DirectMap2M,DirectMap1G
1642012500.052023,52023,3,0,0,0,3878020,3200364,3406804,2088,432092,0,292260,213228,83472,29596,208788,183632,0,0,0,0,0,0,71308,70904,41760,72272,45704,26568,3040,5972,0,0,0,1939008,572480,34359738367,353332,34358945788,2816,0,18432,0,0,0,0,0,0,2048,106340,3039232,3145728
1642012500.051728,51728,4,0,0,0,1813712,88496,1234112,2068,1307272,0,554692,1028136,299008,37000,255684,991136,0,0,0,0,8,0,273488,40396,62520,81544,59380,22164,2784,7036,0,0,0,906856,646516,34359738367,348656,34358945788,2816,0,10240,0,0,0,0,0,0,2048,79716,2017280,0
1642012560.05466,54660,0,0,0,0,97387748,86789788,93410624,180520,6775340,8876,436984,6594744,76804,14044,360180,6580700,0,0,8388604,6280312,0,0,69540,53492,14980,369952,237412,132540,10704,8600,0,0,0,57082476,3008928,34359738367,576596,34308614140,51200,0,22528,0,0,0,0,0,0,2048,439668,10711040,90177536
1642012560.058368,58368,2,0,0,0,97385124,93018580,93297852,4128,818368,5500,327924,608272,26892,268272,301032,340000,0,0,8388604,8172796,0,0,108920,64540,181464,342600,166280,176320,14400,7236,0,0,0,57081164,1403148,34359738367,583720,34308612092,54400,0,63488,0,0,0,0,0,0,2048,522612,8531968,92274688
1642012560.057547,57547,1,0,0,0,97385144,32674236,93221080,4292,60569568,5560,44410944,16276272,21560,321320,44389384,15954952,0,0,8388604,8192508,0,0,110644,67276,229524,940292,759956,180336,14208,7180,0,0,0,57081176,1323200,34359738367,583720,34308612092,54400,0,57344,0,0,0,0,0,0,2048,539016,9564160,91226112
1642012560.051862,51862,5,0,0,0,3878040,197200,1142452,2068,1162068,0,2933424,565872,2346820,30064,586604,535808,0,0,0,0,0,0,2335184,79880,41724,86144,63172,22972,3008,11116,0,0,0,1939020,3258800,34359738367,352264,34358945788,2624,0,931840,0,0,0,0,0,0,2048,81776,4112384,2097152
1642012560.051789,51789,4,0,0,0,1813712,88496,1234120,2068,1307280,0,554452,1028136,298760,37000,255692,991136,0,0,0,0,176,0,273240,40400,62520,81544,59380,22164,2784,7044,0,0,0,906856,646516,34359738367,348656,34358945788,2816,0,10240,0,0,0,0,0,0,2048,79716,2017280,0
1642012560.051987,51987,3,0,0,0,3878020,3200348,3406788,2088,432092,0,292260,213228,83472,29596,208788,183632,0,0,0,0,0,0,71308,70904,41760,72288,45704,26584,3040,5972,0,0,0,1939008,572480,34359738367,353332,34358945788,2816,0,18432,0,0,0,0,0,0,2048,106340,3039232,3145728
1642012620.058216,58216,1,0,0,0,97385144,32676044,93222888,4292,60569568,5560,44407868,16276272,18484,321320,44389384,15954952,0,0,8388604,8192508,0,0,107100,67276,229524,940292,759956,180336,14208,7180,0,0,0,57081176,1323200,34359738367,583720,34308612092,54400,0,57344,0,0,0,0,0,0,2048,539016,9564160,91226112
1642012620.055382,55382,0,0,0,0,97387748,86788908,93409760,180536,6775340,8876,439256,6594760,79076,14044,360180,6580716,0,0,8388604,6280312,0,0,71852,53492,14980,369872,237412,132460,10704,8600,0,0,0,57082476,3009072,34359738367,576596,34308614140,51200,0,24576,0,0,0,0,0,0,2048,439668,10711040,90177536
